status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
103420729696747_1567330453305760,Happy belated birthday to Alisha! Your bubbly personality and kindness always puts a smile on our faces! We're so happy to have you on the team this year and hope you had an incredible birthday!,,photo,https://www.facebook.com/texasmohini/photos/a.185028754869277.35565.103420729696747/1567330403305765/?type=3,2017-10-17 18:40:31,16,2,0,10,6,0,0,0,0
103420729696747_1562951360410336,Happy belated birthday to Monica and Varsha!! Mon you literally light up any room you enter and constantly have the team's back. You encourage everyone around you and have the kindest heart. It's seriously impossible to not have fun when you're around! Varsha your low key jokes during practice crack us up and you always have a smile on your face! We love your hilarious and quirky personality and we're so thankful you're on the team this year!,,photo,https://www.facebook.com/texasmohini/photos/a.185028754869277.35565.103420729696747/1562950753743730/?type=3,2017-10-12 17:02:53,28,2,0,21,7,0,0,0,0
103420729696747_1550242848347854,,2017-2018,photo,https://www.facebook.com/texasmohini/photos/a.1550239491681523.1073741834.103420729696747/1550241995014606/?type=3,2017-09-27 17:30:42,22,2,0,22,0,0,0,0,0
103420729696747_1548535868518552,"Welcome to Mohini!!! 😊

Introducing our 17-18 newbie class:
Varsha Mullangi
Amy Bajracharya 
Prarthana Pilla
Chandana Madaka
Shreya Gupta
Keerthi Madala
Mudita Sharma
Sumukhi Prasad
Anoushka Dasgupta
Anika Gera
Alisha Kashyap
Saraaga Tamirisa",Timeline Photos,photo,https://www.facebook.com/texasmohini/photos/a.288021364570015.65448.103420729696747/1548535868518552/?type=3,2017-09-25 12:18:01,55,1,1,41,14,0,0,0,0
103420729696747_1537612536277552,FINAL auditions day is tonight at 9:15PM at Greg South!! Make sure to fill out the google form if you're interested. See y'all soon!,,status,,2017-09-12 20:38:10,1,0,0,1,0,0,0,0,0
103420729696747_1533280333377439,Our last workshop is tonight! Even if you're late hop on into UNB 3.312 (T-HOUSE). If you need directions call 210-601-5698! Excited to see everyone :),,status,,2017-09-07 20:28:26,2,0,0,2,0,0,0,0,0
103420729696747_1533112293394243,,Texas Mohini,video,https://www.youtube.com/watch?v=O259HIb2C3U,2017-09-07 14:41:21,7,0,0,7,0,0,0,0,0
103420729696747_1532228883482584,Come visit Texas Mohini in front of Gregory Gym! We'll be out here until 4pm :),,photo,https://www.facebook.com/texasmohini/photos/a.185028754869277.35565.103420729696747/1532228863482586/?type=3,2017-09-06 13:08:25,9,0,2,6,3,0,0,0,0
103420729696747_1526112977427508,Tomorrow is our information session! Come join us in SAC Balcony Room B. Can't wait to see everyone there!,,status,,2017-08-30 12:06:10,6,0,0,6,0,0,0,0,0
103420729696747_1526111870760952,"Come dance with us this fall! 
No dance experience required! 

For questions email:
mohinidance@gmail.com",Texas Mohini's cover photo,photo,https://www.facebook.com/texasmohini/photos/a.349415908430560.77223.103420729696747/1526111834094289/?type=3,2017-08-30 12:04:20,8,0,0,8,0,0,0,0,0
103420729696747_1518723191499820,"Come dance with us this fall! 
No dance experience required! 

For questions email:
mohinidance@gmail.com",Texas Mohini's cover photo,photo,https://www.facebook.com/texasmohini/photos/a.349415908430560.77223.103420729696747/1518723108166495/?type=3,2017-08-21 18:06:18,7,0,0,5,2,0,0,0,0
103420729696747_1849655462029713,"Hello Longhorns! We are looking for new enthusiastic dancers to add to our team! Texas Mohini is an all-girls Bollywood fusion dance team at the University of Texas at Austin. We perform multiple dance styles including Bollywood, Bharatnatyam, Kathak, Hip-hop, Contemporary, and Bhangra. We compete all over Texas and at national competitions!!! This past year we had the honor of competing at Tamasha in San Diego, South Asian Showdown in Boston, and Tufaan in Chicago!!! 

Check out our performance from this past year! 
https://www.youtube.com/watch?v=lKXvguTCnOE&feature=youtu.be 

****NO PRIOR DANCE EXPERIENCE NECESSARY****

*****INFO SESSION*****
Thursday, August 31st 
Time: 8 PM
Location: 3.112 SAC Balcony Room B

*****WORKSHOPS*****
September 6th 
Time: 9 PM 
Location: Greg North
&
September 7th 
Time: 8:30 PM 
Location: UNB 3.312 

*****AUDITIONS*****
September 11th
Time:9:30 PM 
Location: UNB 3.312
&
September 12th
Time: 9:15 PM 
Location: Greg South

If you are interested in trying out, please fill out this brief google doc form.

https://docs.google.com/forms/d/1LwFCmf0TK1w7K7A2Ua-HHUfGolEm8ONL65RTDBIZ1Fc/viewform?c=0&w=1

*********************************************
Although we will be teaching the audition piece at workshops, attending workshops will still be optional! A video will be posted online that way everyone will have a chance to learn the piece even if workshop attendance is not possible. This dance workshop is open to anyone who wants to learn Bollywood fusion dances even if you do not plan on auditioning. Bring your friends and have fun as we teach you some pieces from our past year's dances!

If you have any questions please feel free to contact:
Alekhya Aelety: 972-971-7862 
Aashna Chaudhry: 469-286-7976
Shivani K. Patel: 210-601-5698

or email mohinidance@gmail.com",Texas Mohini Fall 2017 Workshops & Auditions,event,https://www.facebook.com/events/1849655462029713/,2017-08-21 17:30:23,1,0,0,1,0,0,0,0,0
